jdn_id,jdn_jtp_id,jdn_symbol,jdn_nazwa,jdn_aktywny,jdn_urz_id_wpro,jdn_data_wpro,jdn_urz_id_mod,jdn_data_mod,jdn_jdn_id,jdn_ulica,jdn_nr_bud,jdn_kod_pocztowy,jdn_regon,jdn_nazwa_pelna,jdn_jro_id,jdn_nip,jdn_nip_vat,jdn_nr_sap,jdn_nr_jpk
-99,0,,Miasto st. Warszawa,1,1,2014-03-03 14:35,285,2014-10-03 10:32,NULL,,,,,Miasto st. Warszawa,NULL,525-224-84-81,525-224-84-81,NULL,0
0,0,NULL,Urząd Miasta,1,1,NULL,NULL,NULL,-99,ul.Kredytowa,3,00-056,15259640,Urząd Miasta Stołecznego Warszawy,1,525-224-84-81,525-224-84-81,NULL,1960;
1,1,BEM,BEMOWO,1,1,NULL,209,2013-03-15 13:49,NULL,ul.Powstańców Śląskich,70,01-381,15259663,BEMOWO,1,525-224-84-81,525-224-84-81,3900000001,NULL;
2,1,BIA,BIAŁOŁĘKA,1,1,NULL,209,2013-03-15 13:49,NULL,ul.Modlińska,197,03-122,15259663,BIAŁOŁĘKA,1,525-224-84-81,525-224-84-81,3900000002,NULL
3,1,BIE,BIELANY,1,1,NULL,209,2013-03-12 14:30,NULL,ul.Żeromskiego,29,01-882,15259640,BIELANY,1,525-224-84-81,525-224-84-81,3900000003,NULL
4,1,MOK,MOKOTÓW,1,1,NULL,209,2013-03-12 14:31,NULL,ul.Rakowiecka,25/27,02-517,15259640,MOKOTÓW,1,525-224-84-81,525-224-84-81,3900000004,NULL
5,1,OCH,OCHOTA,1,1,NULL,209,2013-03-15 13:51,NULL,ul.Grójecka,17a,02-021,15259663,OCHOTA,1,525-224-84-81,525-224-84-81,3900000005,NULL
6,1,PRD,PRAGA POŁUDNIE,1,1,NULL,209,2013-03-12 14:32,NULL,ul.Grochowska,274,03-841,15259640,PRAGA POŁUDNIE,1,525-224-84-81,525-224-84-81,3900000006,NULL
7,1,PRN,PRAGA PÓŁNOC,1,1,NULL,209,2013-03-15 13:52,NULL,ul.Ks. Ignacego Kłopotowskiego,15,03-708,15259663,PRAGA PÓŁNOC,1,525-224-84-81,525-224-84-81,3900000007,NULL
8,1,REM,REMBERTÓW,1,1,NULL,209,2013-03-15 13:53,NULL,"Al.Gen. A.Chruściela ""Montera""",28,04-401,15259663,REMBERTÓW,1,525-224-84-81,525-224-84-81,3900000008,NULL
9,1,ŚRÓ,ŚRÓDMIEŚCIE,1,1,NULL,209,2013-03-15 13:53,NULL,ul.Nowogrodzka,43,00-691,15259663,ŚRÓDMIEŚCIE,1,525-224-84-81,525-224-84-81,3900000009,NULL
10,1,TAR,TARGÓWEK,1,1,NULL,209,2013-03-12 14:33,NULL,ul.Kondratowicza,20,00-983,15259640,TARGÓWEK,1,525-224-84-81,525-224-84-81,3900000010,NULL
11,1,URS,URSUS,1,1,NULL,209,2013-03-15 13:54,NULL,Pl.Czerwca 1976,1,02-495,15259663,URSUS,1,525-224-84-81,525-224-84-81,3900000011,NULL
